方法,round,类别组,普通提案margin变化乘1e4,修正margin变化乘1e4,提交A净margin变化乘1e4,分类LA修正变化_类均衡,功能权重份额,CP显式样本权重份额
Full-CP μ1,77,Few30,-0.02174818075359218,0.028863071596488273,0.007114890842896067,-0.0022627001546945747,0.14729308760433923,0.028118373607867397
Full-CP μ1,78,Head20,0.626029450665139,-0.521986216110368,0.10404323455477107,0.0012185377115455295,0.2365964802884264,0.6133493087909301
Full-CP μ1,78,Middle60,0.004446603336904863,0.06815726417069257,0.07260386750759744,0.0007787541327284956,0.7030292399431346,0.3725454003215418
Full-CP μ1,78,Tail20,0.0063838388693208455,-0.0013137507873276894,0.0050700880819931635,-0.0029701291055728987,0.06037428665149491,0.014105282643868122
Full-CP μ1,78,Many35,0.2854431898650326,-0.14589418766809997,0.13954900219693261,0.0010731568159693453,0.46787530566507485,0.8134968126760214
Full-CP μ1,78,Medium35,0.11378636906944326,-0.07499811860053426,0.038788250468908964,0.0013978855384620297,0.3874042363022454,0.15838480547245126
Full-CP μ1,78,Few30,-0.03526575239343876,0.04515557438966125,0.00988982199622249,-0.00249310207739786,0.14472046491573565,0.028118373607867397
Full-CP μ1,79,Head20,0.6617404220346241,-0.5486636346862571,0.11307678734836689,0.0012196923687869412,0.2396557856554864,0.6133493087909301
Full-CP μ1,79,Middle60,0.0014072446510723883,0.06794953214452228,0.06935677679559468,0.0007878393840502908,0.6969069527549436,0.3725454003215418
Full-CP μ1,79,Tail20,0.00588699331274257,0.0035360164474696185,0.009423009760212155,-0.003134598273900338,0.06343733287940267,0.014105282643868122
Full-CP μ1,79,Many35,0.3027835929712728,-0.16290340239134118,0.13988019057993156,0.001081409795575327,0.4646762792690424,0.8134968126760214
Full-CP μ1,79,Medium35,0.11596693024642354,-0.07244876013770679,0.04351817010871677,0.001376149520937801,0.38545208889991045,0.15838480547245126
Full-CP μ1,79,Few30,-0.04064284422025648,0.04705817508040883,0.006415330860152314,-0.002568077704573665,0.14987170312087983,0.028118373607867397
Full-CP μ1,80,Head20,0.6795361188647268,-0.5380708873882248,0.14146523147650208,0.0012201286884327227,0.23756460772710852,0.6133493087909301
Full-CP μ1,80,Middle60,0.0056955778207426295,0.06976243744054304,0.07545801526128564,0.0007434936553914954,0.7065874290710781,0.3725454003215418
Full-CP μ1,80,Tail20,-0.000756052516711226,0.0030325929401442573,0.0022765404234329767,-0.0030769718541220456,0.05584793136222288,0.014105282643868122
Full-CP μ1,80,Many35,0.3202109715697628,-0.15815265194251232,0.16205831962725054,0.001068402188390585,0.4725716611574171,0.8134968126760214
Full-CP μ1,80,Medium35,0.1143404281920135,-0.07257220131591434,0.04176822687609912,0.0013431069493138007,0.38651363059761934,0.15838480547245126
Full-CP μ1,80,Few30,-0.043065433181910084,0.05201167405053019,0.008946240868620097,-0.0025643354603316734,0.14091467640537303,0.028118373607867397
Full-CP μ1,81,Head20,0.6424440230780031,-0.5207308488943819,0.12171317418362114,0.001170847060277417,0.2446593290369492,0.6133493087909301
Full-CP μ1,81,Middle60,0.001903952295235392,0.0678739851541288,0.06977793744936418,0.000746372805038546,0.6944478173099924,0.3725454003215418
Full-CP μ1,81,Tail20,-0.004605055437423289,0.0004978637055804199,-0.004107191731842857,-0.003058618592331186,0.060892877183505334,0.014105282643868122
Full-CP μ1,81,Many35,0.2991182579571026,-0.15353514524655848,0.14558311271054408,0.0010368401495428556,0.4662289903644705,0.8134968126760214
Full-CP μ1,81,Medium35,0.11053209378792554,-0.06860814237613762,0.041923951411787876,0.0013273669006825535,0.3861826826032484,0.15838480547245126
Full-CP μ1,81,Few30,-0.04889152735167557,0.04809314907553547,-0.0007983782761401043,-0.002524010303221731,0.147588350562728,0.028118373607867397
Full-CP μ1,82,Head20,0.6333054709663154,-0.5416956530689416,0.09160981789737357,0.001241425708875592,0.24481015260971617,0.6133493087909301
Full-CP μ1,82,Middle60,0.0024296601980636078,0.0750761944870708,0.0775058546851344,0.0007715817746778564,0.6992376393754967,0.3725454003215418
Full-CP μ1,82,Tail20,0.0007743874448351562,0.0009057342443460068,0.0016801216891811528,-0.0031972772742543997,0.0559522187395487,0.014105282643868122
Full-CP μ1,82,Many35,0.2960763278011254,-0.15521247322496554,0.1408638545761598,0.0010942717163334459,0.4699400081881322,0.8134968126760214
Full-CP μ1,82,Medium35,0.11056128959541692,-0.07232528033594829,0.038236009259468684,0.0013944249168104277,0.3897055808629375,0.15838480547245126
Full-CP μ1,82,Few30,-0.04683132762573848,0.05508648891214387,0.008255161286405405,-0.0026642168995646776,0.14035442167369183,0.028118373607867397
Full-CP μ1,83,Head20,0.6310620041887742,-0.5556643385650973,0.07539766562367668,0.001223323386310596,0.24077215496799909,0.6133493087909301
Full-CP μ1,83,Middle60,0.009504167454558756,0.06584195654279305,0.07534612399735188,0.0007744884095252575,0.701200939642149,0.3725454003215418
Full-CP μ1,83,Tail20,-0.004467866771544011,0.003193080192431805,-0.0012747865791122113,-0.0031309865795386333,0.05802688666153699,0.014105282643868122
Full-CP μ1,83,Many35,0.3038051369653378,-0.17434048331585808,0.12946465364947976,0.001087885424877461,0.4687363536504563,0.8134968126760214
