run_id,round,overall,tail,nontail,head,middle,many,medium,few
Rc521cdbcf,87,66.16,58.8,68.0,83.8,62.733333333333334,77.68571428571428,62.65714285714286,56.8
Rc521cdbcf,88,66.11,58.75,67.95,83.85,62.65,77.71428571428571,62.6,56.666666666666664
Rc521cdbcf,89,66.07,58.5,67.9625,83.85,62.666666666666664,77.74285714285715,62.628571428571426,56.46666666666667
Rc521cdbcf,90,65.7,57.35,67.7875,84.1,62.35,77.85714285714286,62.22857142857143,55.56666666666667
Rc521cdbcf,91,65.7,57.2,67.825,84.05,62.416666666666664,77.85714285714286,62.31428571428572,55.46666666666667
Rc521cdbcf,92,65.68,57.05,67.8375,84.0,62.45,77.85714285714286,62.371428571428574,55.333333333333336
Rc521cdbcf,93,65.64,56.85,67.8375,83.95,62.46666666666667,77.82857142857142,62.4,55.2
Rc521cdbcf,94,65.63,56.75,67.85,84.0,62.46666666666667,77.85714285714286,62.42857142857143,55.1
Rc521cdbcf,95,65.63,56.65,67.875,84.05,62.483333333333334,77.88571428571429,62.48571428571429,55.0
Rc521cdbcf,96,65.59,56.5,67.8625,84.05,62.46666666666667,77.85714285714286,62.51428571428571,54.86666666666667
Rc521cdbcf,97,65.58,56.3,67.9,84.05,62.516666666666666,77.85714285714286,62.6,54.733333333333334
Rc521cdbcf,98,65.5,55.9,67.9,84.05,62.516666666666666,77.85714285714286,62.6,54.46666666666667
Rc521cdbcf,99,65.5,55.85,67.9125,84.05,62.53333333333333,77.85714285714286,62.6,54.46666666666667
Rc521cdbcf,100,65.48,55.8,67.9,84.05,62.516666666666666,77.85714285714286,62.57142857142857,54.43333333333333
R102f075dc,0,64.95,66.35,64.6,67.7,63.56666666666667,65.45714285714286,64.45714285714286,64.93333333333334
R102f075dc,1,64.98,66.4,64.625,67.85,63.55,65.6,64.4,64.93333333333334
R102f075dc,2,65.06,66.45,64.7125,68.1,63.583333333333336,65.88571428571429,64.31428571428572,64.96666666666667
R102f075dc,3,65.06,66.4,64.725,68.1,63.6,65.91428571428571,64.25714285714285,65.0
R102f075dc,4,65.1,66.4,64.775,68.3,63.6,66.0,64.25714285714285,65.03333333333333
R102f075dc,5,65.17,66.45,64.85,68.55,63.61666666666667,66.14285714285714,64.25714285714285,65.1
R102f075dc,6,65.34,66.7,65.0,68.85,63.71666666666667,66.42857142857143,64.34285714285714,65.23333333333333
R102f075dc,7,65.44,66.8,65.1,69.15,63.75,66.57142857142857,64.4,65.33333333333333
R102f075dc,8,65.62,67.0,65.275,69.3,63.93333333333333,66.82857142857142,64.45714285714286,65.56666666666666
R102f075dc,9,65.69,67.05,65.35,69.5,63.96666666666667,66.94285714285714,64.48571428571428,65.63333333333334
R102f075dc,10,66.0,67.55,65.6125,70.1,64.11666666666666,67.57142857142857,64.4,66.03333333333333
R102f075dc,11,66.15,67.6,65.7875,70.35,64.26666666666667,67.85714285714286,64.45714285714286,66.13333333333334
R102f075dc,12,66.26,67.75,65.8875,70.55,64.33333333333333,68.05714285714286,64.42857142857143,66.3
R102f075dc,13,66.28,67.75,65.9125,70.65,64.33333333333333,68.08571428571429,64.48571428571428,66.26666666666667
R102f075dc,14,66.33,67.8,65.9625,70.85,64.33333333333333,68.2,64.51428571428572,66.26666666666667
R102f075dc,15,66.43,67.95,66.05,70.95,64.41666666666667,68.31428571428572,64.6,66.36666666666666
R102f075dc,16,66.47,67.95,66.1,71.1,64.43333333333334,68.54285714285714,64.42857142857143,66.43333333333334
R102f075dc,17,66.58,68.1,66.2,71.3,64.5,68.77142857142857,64.42857142857143,66.53333333333333
R102f075dc,18,66.62,68.15,66.2375,71.5,64.48333333333333,68.88571428571429,64.4,66.56666666666666
R102f075dc,19,66.65,68.1,66.2875,71.65,64.5,68.97142857142858,64.42857142857143,66.53333333333333
R102f075dc,20,67.09,68.0,66.8625,73.55,64.63333333333334,70.45714285714286,64.25714285714285,66.46666666666667
R102f075dc,21,67.12,67.95,66.9125,73.9,64.58333333333333,70.62857142857143,64.28571428571429,66.33333333333333
R102f075dc,22,67.14,67.95,66.9375,74.1,64.55,70.68571428571428,64.14285714285714,66.5
R102f075dc,23,67.25,68.05,67.05,74.4,64.6,70.82857142857142,64.2,66.63333333333334
R102f075dc,24,67.34,68.15,67.1375,74.8,64.58333333333333,71.05714285714286,64.25714285714285,66.6
R102f075dc,25,67.38,68.15,67.1875,75.1,64.55,71.25714285714285,64.17142857142858,66.6
R102f075dc,26,67.49,68.35,67.275,75.35,64.58333333333333,71.48571428571428,64.22857142857143,66.63333333333334
R102f075dc,27,67.5,68.35,67.2875,75.5,64.55,71.6,64.25714285714285,66.5
R102f075dc,28,67.45,68.2,67.2625,75.85,64.4,71.8,64.11428571428571,66.26666666666667
R102f075dc,29,67.53,68.3,67.3375,75.95,64.46666666666667,71.91428571428571,64.2,66.3
R102f075dc,30,67.65,68.3,67.4875,77.4,64.18333333333334,73.05714285714286,63.77142857142857,65.86666666666666
R102f075dc,31,67.67,68.25,67.525,77.5,64.2,73.08571428571429,63.77142857142857,65.9
R102f075dc,32,67.65,68.1,67.5375,77.7,64.15,73.2,63.74285714285714,65.73333333333333
