method,partition,class_id,last20_accuracy
E0,noniid-labeldir-fine,76,78.10000000
E0,noniid-labeldir-fine,77,71.50000000
E0,noniid-labeldir-fine,78,56.25000000
E0,noniid-labeldir-fine,79,52.00000000
E0,noniid-labeldir-fine,80,47.95000000
E0,noniid-labeldir-fine,81,45.55000000
E0,noniid-labeldir-fine,82,91.00000000
E0,noniid-labeldir-fine,83,73.00000000
E0,noniid-labeldir-fine,84,64.85000000
E0,noniid-labeldir-fine,85,80.00000000
E0,noniid-labeldir-fine,86,70.80000000
E0,noniid-labeldir-fine,87,82.00000000
E0,noniid-labeldir-fine,88,48.00000000
E0,noniid-labeldir-fine,89,88.95000000
E0,noniid-labeldir-fine,90,80.00000000
E0,noniid-labeldir-fine,91,46.60000000
E0,noniid-labeldir-fine,92,71.00000000
E0,noniid-labeldir-fine,93,49.30000000
E0,noniid-labeldir-fine,94,78.40000000
